Strain (um/um),UnIR_45deg_5nmps_tst1,UnIR_45deg_5nmps_tst2,UnIR_45deg_500nmps_tst3,UnIR_45deg_500nmps_tst4
0.454,120.3476301,105.8989904,140.0308426,135.1325995
0.456,120.7058599,104.0558899,140.37802,136.0067487
0.458,120.3511422,105.5923944,140.2438833,137.3105645
0.46,120.6672273,105.197696,141.4550589,137.2611775
0.462,120.463528,106.7694414,142.0586741,137.9624723
0.464,120.8744386,107.4354949,142.2125368,138.7427863
0.466,116.1156024,105.8707977,141.9837154,138.0118593
0.468,120.9306315,107.3121517,141.6720448,138.9551502
0.47,121.6189945,106.9949833,140.8632793,139.3057976
0.472,121.7454285,107.7385669,141.7825103,140.1256212
0.474,121.899959,106.8187787,141.6523188,141.6368621
0.476,122.6655872,107.3051035,142.0981261,142.3677891
0.478,121.1132584,106.5791404,142.4965911,142.3134635
0.48,119.1991878,108.0909762,143.8813554,141.4393143
0.482,120.150955,108.0028739,143.893191,143.2666318
0.484,120.3932869,108.7711261,144.0904509,144.5259993
0.486,121.0711137,109.4583242,143.4592193,142.9505553
0.488,119.4099111,109.0283849,144.3192724,141.3059695
0.49,121.9772242,107.7597115,143.8103419,144.5506928
0.492,122.1738994,109.7472999,143.8103419,146.8175542
0.494,122.3073575,110.1842874,139.5653093,146.1014433
0.496,121.211596,110.473263,140.358294,146.1014433
0.498,119.9788642,108.4715782,141.9639894,150.1906836
0.5,121.5452413,108.0698316,141.8140719,150.4672506
0.502,123.6243786,109.9869382,143.7511639,150.2746414
0.504,123.2310283,110.05742,144.8479288,152.9267212
0.506,124.3619104,109.1904932,145.4515441,153.7662995
0.508,123.9966566,110.9595878,146.0551593,153.7662995
0.51,124.9133032,111.6644064,146.9980615,152.8773342
0.512,125.6613712,110.8186241,146.8047468,152.8773342
0.514,125.7878052,111.1216961,147.4912112,154.0527438
0.516,126.6271867,110.9807324,147.5306632,155.4503948
0.518,126.6798675,111.0512142,147.9212377,155.5491687
0.52,127.0345852,107.9359161,149.9096173,155.6775748
0.522,126.8063015,108.5068192,150.3001919,154.1416404
0.524,127.459544,108.1403135,149.9845761,154.1416404
0.526,128.4429197,108.6301624,149.822823,154.3144947
0.528,129.275277,109.4512761,150.2962467,153.6872803
0.53,128.6712034,109.5182338,150.5724105,152.8625181
0.532,128.4183353,108.4433855,150.3238631,152.7094185
0.534,130.6239066,108.6054938,148.6353185,149.810404
0.536,130.525569,106.9526942,144.492861,149.810404
0.538,131.1191065,109.9728418,143.3605893,153.237859
0.54,131.6353788,111.1075997,143.67226,153.3316942
0.542,131.9725362,110.3182029,145.6645847,151.3315224
0.544,132.1902837,112.1542553,147.1400886,148.5806687
0.546,131.5932341,112.6229596,150.7538896,148.5806687
0.548,132.334278,112.7674474,150.7459992,140.9306286
0.55,132.0814099,113.1938627,150.3672602,138.1205106
0.552,130.9680881,113.9797354,151.6218331,138.8069893
0.554,128.3586304,110.9032023,152.3832562,142.3875439
0.556,128.3902389,113.2890132,152.339859,143.2123062
0.558,123.9931445,114.0466931,151.9847912,140.5355329
0.56,125.7281003,112.4784718,153.0223782,137.1525262
0.562,127.4314475,114.610548,153.9218832,136.4858022
0.564,128.6114984,115.3647039,154.5412793,137.2266066
0.566,128.0811779,114.1911809,154.7819363,139.8391768
0.568,128.274341,109.8847395,155.6380442,141.6763717
0.57,119.9753522,113.5885611,156.0246735,142.012203
0.572,117.1973157,114.1700364,156.3481798,142.6591722
0.574,116.9093271,112.9929894,156.8768362,142.9999422
0.576,119.778677,114.2757592,155.993112,142.7826396
0.578,122.6655872,115.3964207,155.2435244,145.4199033
0.58,125.4295755,111.9040447,156.7190283,145.4199033
0.582,128.3480942,109.2856437,157.5790814,148.4769561
0.584,126.7852292,109.8213058,157.5790814,151.0500167
0.586,129.0153849,110.0151309,154.4308137,151.9933076
0.588,130.9224314,110.5472689,149.8464942,151.9933076
0.59,130.3605024,111.6467859,149.5466591,151.9933076
0.592,124.1792835,112.8555498,150.1542196,144.0963327
0.594,121.2256442,113.7048561,152.0834212,144.5408154
0.596,120.3757266,107.1500434,154.0718008,144.5408154
0.598,123.2661489,109.5605229,156.9241786,146.219972
0.6,122.6796355,109.6803421,156.8650006,144.7828115
0.602,122.3284299,109.3807942,157.6579853,143.8790301
0.604,125.1661713,111.0406419,158.4430797,143.0641453
0.606,128.0320091,113.4828383,158.7231887,144.7926889
0.608,126.5183129,112.1683516,158.0722311,146.674332
0.61,128.1198105,106.1597733,157.9578204,146.674332
0.612,124.8009174,106.4240803,158.8257638,143.7308692
0.614,124.2003558,108.9085658,159.0545853,142.0665287
0.616,119.8173097,112.4573273,159.1019277,145.0495011
0.618,116.2350123,112.7463029,159.3386395,144.6544054
0.62,117.8224617,112.3797972,160.1908022,141.7553908
0.622,119.7259962,111.9815747,160.9443349,142.451747
0.624,110.6719153,112.5947669,160.3328293,141.004709
0.626,112.656227,111.7207919,158.9046678,139.5280389
0.628,116.4843683,109.0001922,158.0761763,139.5280389
0.63,120.2422685,109.5781434,155.7603453,136.5154344
0.632,121.6751874,108.2566086,154.7385391,133.5423394
0.634,123.1642992,108.3376627,155.5275787,126.840529
0.636,122.0018086,110.4204016,157.3305339,126.840529
0.638,116.2947173,111.498774,157.6619305,119.5905233
0.64,115.2867572,111.7066955,158.0169983,118.5138875
0.642,117.5801299,111.8229905,158.4864768,112.6812876
0.644,118.0121128,108.2495604,157.630369,112.6812876
0.646,114.6089303,110.1032332,156.4191933,102.1272942
0.648,112.7370043,104.5210701,155.8116329,97.8009966
0.65,109.46728,105.807364,155.6064826,95.6230316
0.652,105.7269401,106.6390499,154.8608403,93.4154345
0.654,106.0114167,109.0424813,155.7287837,91.751094
0.656,95.3874467,108.348235,156.8137131,90.9115157
0.658,93.2275321,108.919138,157.8749712,90.6744583
0.66,93.4663519,107.5376936,157.8749712,85.804904
0.662,93.469864,109.6239566,159.9146384,81.0242463
0.664,91.597938,110.2864861,160.6208287,67.9613954
0.666,91.2151239,111.9569061,161.1889372,61.6596193
