Strain (um/um),UnIR_0deg_5nmps_tst2,UnIR_0deg_5nmps_tst3,UnIR_0deg_500nmps_tst1,UnIR_0deg_500nmps_tst2,,1278.85794,2653.4984
0.234,97.2916207,108.004532,189.2283758,262.0032932,,,
0.236,96.5138986,104.6237807,183.7417929,259.2004848,,,
0.238,96.8730648,102.4031889,182.4868983,256.1261346,,,
0.24,96.4290562,102.5195373,182.879411,256.4195244,,,
0.242,88.3520587,101.1433022,183.4037163,257.0312732,,,
0.244,85.1139067,93.1285615,183.4982631,259.1848789,,,
0.246,85.4872133,89.2425259,183.9308866,260.2367124,,,
0.248,86.5873365,83.5248344,184.5440087,262.1218976,,,
0.25,88.5726489,82.3148114,182.4611127,261.4820582,,,
0.252,84.3984023,83.9536613,182.4611127,261.4820582,,,
0.254,76.9746914,81.4139425,171.9005151,255.0805434,,,
0.256,74.5849635,75.556633,171.9005151,249.7589528,,,
0.258,74.039144,68.31644,166.4912887,247.6927398,,,
0.26,69.4887626,64.257544,164.878262,245.1084129,,,
0.262,62.4298741,60.4246961,161.8011915,244.6496013,,,
0.264,62.4015933,55.5347403,158.3889094,246.6970873,,,
0.266,61.9406162,53.6665178,158.3889094,247.8363134,,,
0.268,61.5531691,46.5327005,154.5669243,248.3825178,,,
0.27,55.3625012,45.7415316,153.2661887,248.2295806,,,
0.272,52.8115727,41.3535358,147.8569623,248.7227251,,,
0.274,46.7029191,39.049838,139.6342506,250.3769439,,,
0.276,44.6723574,33.1060983,130.4030391,250.8981789,,,
0.278,45.3171598,31.5403816,122.8736711,252.5648824,,,
0.28,45.4387672,29.3131414,116.0462418,253.3545378,,,
0.282,42.5541252,26.3213261,116.0004009,254.9338486,,,
0.284,41.5501567,21.7139305,116.306962,255.2615712,,,
0.286,37.5993285,19.5731205,117.0747971,255.8858047,,,
0.288,36.0919616,17.4456074,116.2152802,257.9176849,,,
0.29,33.113993,14.6233283,116.2152802,258.57313,,,
0.292,31.3294743,12.2797396,108.631476,259.1224556,,,
0.294,29.983308,9.5970786,108.631476,259.1193344,,,
0.296,28.7219842,6.9310388,100.6522941,257.305936,,,
0.298,25.3282877,4.5409108,99.8242929,257.305936,,,
0.3,23.8887948,3.7996054,98.5779934,255.3739332,,,
0.302,22.7717031,1.3296957,94.7044372,256.0886806,,,
0.304,21.9147947,0.1296453,91.3437261,256.5755828,,,
0.306,19.5109264,,91.3437261,254.7996384,,,
0.308,18.6681585,,88.3755278,254.7996384,,,
0.31,17.5482387,,81.0094679,250.1272505,,,
0.312,17.0618088,,71.5948928,247.0529004,,,
0.314,15.2603216,,62.3780066,251.4943219,,,
0.316,13.3400551,,55.5935532,249.4405936,,,
0.318,12.3134619,,46.9697336,249.4405936,,,
0.32,11.224651,,42.8956235,244.0160043,,,
0.322,10.0425134,,42.8956235,243.5478292,,,
0.324,8.2721351,,43.2766759,245.0397473,,,
0.326,7.5424903,,42.3340724,245.873099,,,
0.328,6.9485935,,40.1910103,247.3743807,,,
0.33,5.3337596,,36.8159739,248.0984916,,,
0.332,4.9689372,,36.8159739,248.7320886,,,
0.334,4.8614701,,32.6902928,250.0211308,,,
0.336,3.9932495,,29.3295817,248.5853937,,,
0.338,3.5124758,,26.6937299,248.5853937,,,
0.34,3.1900747,,23.7312616,244.5809357,,,
0.342,1.9740001,,20.6656513,242.3961183,,,
0.344,1.2980889,,18.3678762,241.0196834,,,
0.346,1.1114356,,18.3678762,238.7349887,,,
0.348,,,16.4081776,238.3822968,,,
0.35,,,13.3626227,238.0545742,,,
0.352,,,13.3626227,238.2075114,,,
0.354,,,11.6292637,238.2075114,,,
0.356,,,9.7870324,239.8679726,,,
0.358,,,7.6611606,240.4110557,,,
0.36,,,5.5095033,242.1214556,,,
0.362,,,4.168657,242.6489329,,,
0.364,,,3.4695832,243.2606818,,,
0.366,,,2.9653333,243.8349766,,,
0.368,,,1.8078505,243.6289796,,,
0.37,,,1.4525836,241.235044,,,
0.372,,,1.220514,236.300478,,,
0.374,,,1.1574828,236.300478,,,
0.376,,,,230.8727675,,,
0.378,,,,223.7939594,,,
0.38,,,,223.7939594,,,
0.382,,,,220.601005,,,
0.384,,,,217.454868,,,
0.386,,,,217.454868,,,
0.388,,,,205.9096691,,,
0.39,,,,205.9096691,,,
0.392,,,,205.9096691,,,
0.394,,,,192.8413403,,,
0.396,,,,186.4679161,,,
0.398,,,,186.4679161,,,
0.4,,,,181.5520771,,,
0.402,,,,181.5520771,,,
0.404,,,,171.7859436,,,
0.406,,,,162.8437985,,,
0.408,,,,152.5595513,,,
0.41,,,,150.1781003,,,
0.412,,,,150.1781003,,,
0.414,,,,136.5261132,,,
0.416,,,,136.5261132,,,
0.418,,,,117.824077,,,
0.42,,,,107.1496838,,,
0.422,,,,99.40918817,,,
0.424,,,,90.42022544,,,
0.426,,,,83.65665526,,,
0.428,,,,75.56346766,,,
0.43,,,,70.71005203,,,
0.432,,,,61.87402658,,,
0.434,,,,54.67349289,,,
